2000,"None","Total",9089,5,430,713,22,18216,151,457.39
4000,"None","Total",7263,2501,370,1281,3,20221,108,353.61
6000,"None","Total",8925,894,1000,1239,12,18548,131,415.75
8000,"None","Total",9355,693,360,665,13,18190,126,468.33
10000,"None","Total",9237,899,1100,1047,12,20114,122,444.53
12000,"None","Total",9247,890,1100,1027,11,19577,124,465.05
14000,"None","Total",8422,990,1200,1283,17,20720,121,393.30
16000,"None","Total",8799,1020,1200,1317,11,19490,118,415.58
18000,"None","Total",9197,1039,1200,1106,12,19494,120,447.93
20000,"None","Total",8754,715,1100,1006,12,19774,126,446.14
22000,"None","Total",8120,1945,1100,1375,4,20188,104,394.91
24000,"None","Total",8763,1131,1300,1292,12,20820,116,418.38
26000,"None","Total",8600,925,1200,1004,10,19645,119,423.33
28000,"None","Total",8429,1140,1200,947,12,19457,114,423.90
30000,"None","Total",8664,1083,1200,1051,11,19325,117,424.82
32000,"None","Total",8045,1107,1100,1400,6,21011,120,371.64
34000,"None","Total",8686,1014,1200,1420,12,19738,118,414.64
36000,"None","Total",8563,944,1200,1034,13,19567,119,420.04
38000,"None","Total",8579,974,1200,1079,12,19047,118,412.72
40000,"None","Total",8455,787,1200,1186,11,19564,122,403.24
42000,"None","Total",7851,674,1100,1059,12,19860,122,391.28
44000,"None","Total",8601,2727,1300,1991,5,20806,95,365.02
46000,"None","Total",8290,1074,1200,1044,11,19324,117,408.85
48000,"None","Total",7436,1017,1100,1162,10,20106,121,375.19
50000,"None","Total",7502,2142,1100,1825,3,18372,100,364.34
52000,"None","Total",8798,1356,1000,897,10,19780,110,434.30
54000,"None","Total",8686,1387,1100,834,13,19136,112,440.32
56000,"None","Total",8884,1325,1200,1095,12,20119,114,438.17
58000,"None","Total",8759,595,1100,1073,9,19699,126,435.00
60000,"None","Total",8364,797,1200,1211,12,19547,123,412.05
62000,"None","Total",8781,753,1200,1039,13,19990,121,427.04
64000,"None","Total",9225,1025,1200,1159,9,19672,120,437.18
66000,"None","Total",8547,967,1200,1163,11,19424,118,415.82
68000,"None","Total",8464,896,1200,1042,11,20173,120,430.85
70000,"None","Total",8684,858,1200,1045,10,19093,123,429.56
72000,"None","Total",8417,681,1200,1087,12,20090,123,409.99
74000,"None","Total",8552,684,1200,1075,13,20380,124,428.84
76000,"None","Total",8493,731,1100,1052,11,19639,122,416.93
78000,"None","Total",8909,930,1200,1049,13,19452,120,444.31
80000,"None","Total",8223,884,1200,1159,12,20129,122,409.03
82000,"None","Total",8300,1825,1100,1502,5,21085,110,384.42
84000,"None","Total",8439,2512,1200,1565,10,19551,99,388.08
86000,"None","Total",7297,1929,1100,1250,3,19306,105,367.89
88000,"None","Total",9171,2453,1300,1694,4,23200,97,392.41
90000,"None","Total",7635,2177,1100,1345,2,20689,98,369.45
92000,"None","Total",8906,988,550,916,12,20301,119,433.53
94000,"None","Total",7543,3073,670,1483,3,20223,85,358.42
96000,"None","Total",8953,1492,1100,825,13,18270,108,446.39
98000,"None","Total",8290,2299,1100,1402,6,20504,100,406.55
100000,"None","Total",7816,2450,1100,1387,11,19226,97,401.91
